file_id,company,category,label,description,voxel_quotes
39760c03-665a-45f6-8b9a-dd7d6f88b8d3,Ridge Peak Manufacturing,Operational flow & throughput,No-idling/no-standing enforcement in parking and no-traffic areas,Monitor and alert on people idling or standing in prohibited areas such as parking lots or no-traffic zones.,2
3a43e278-01b9-4daf-9ee7-978f585cf978,Falcon Point Fabrication (LP brief),Operational flow & throughput,Operational productivity and safety program efficiency gains,"Improve operational productivity by reducing lost time and identify efficiency gains in administering safety programs, correlating pre- and post-implementation costs.",6
3a43e278-01b9-4daf-9ee7-978f585cf978,Falcon Point Fabrication (LP brief),Operational flow & throughput,Machine shutdown use case (operations),Discuss a possible machine shutdown workflow to support operational objectives.,3
45f3120e-3169-4083-8b5c-c97d0f20cb0c,Voxel AI Demo,Analytics & reporting,Forklift stop-at-intersection compliance tracking and analytics,Track forklift stop compliance at intersections and quantify compliance rates across all opportunities to enforce safety rules.,4
46c2fe16-50d6-44a5-a327-2443fc6f1ba7,East Bridge Systems,Integration & data export,Simple integration with an existing camera platform and IT onboarding,Leverage Voxel’s ease of integration with an existing camera platform to streamline IT onboarding and implementation.,3
512af163-fb6a-447d-a767-f0cbb22fca95,Voxel - Cobalt Ridge Fabrication,Operational flow & throughput,Heat maps to identify operational bottlenecks and movement patterns,Leverage Voxel heat maps to understand flow patterns and chokepoints and drive continuous improvement in busy areas.,2
5acbb9d9-77b9-4adb-bcd4-520dcb71a740,Trail Lift Works,Loss prevention & damage,"Reduce property damage, equipment repair costs, and product shrink from PIT incidents",Use detection of no-stops and PIT collisions to reduce damage to doors and equipment and minimize product shrink.,2
5acbb9d9-77b9-4adb-bcd4-520dcb71a740,Trail Lift Works,Incident investigation,Accelerate incident investigations with timestamps,Use Voxel’s timestamps to quickly locate relevant footage in the VMS and avoid hours of manual video review.,3
5acbb9d9-77b9-4adb-bcd4-520dcb71a740,Trail Lift Works,Other,Obstruction detection for Federal Safety Bureau compliance and fines avoidance,Monitor for blocked egress and fire extinguisher access to maintain compliance and avoid regulatory fines.,1
5e295dd9-85e3-4dea-930e-545e8e8eba60,Prairie Bridge Systems,Analytics & reporting,Automated weekly snapshots and data delivery,Receive weekly snapshots and in-depth data delivered automatically for ongoing visibility.,1
5e295dd9-85e3-4dea-930e-545e8e8eba60,Prairie Bridge Systems,Integration & data export,API feed updates/integration,Leverage updated API feeds for improved data integration and reporting.,1
62eb5dc9-c22f-4846-92dd-07743da36faf,Voxel Follow Up,Platform & adoption,Protect privacy via body blurring to support wider use,Enable anonymized video with body blurring so more users can engage with the platform without recognizing individuals.,1
62eb5dc9-c22f-4846-92dd-07743da36faf,Voxel Follow Up,Other,Track intervention impact with platform markers,Add markers when training or floor changes happen to compare pre/post data and quantify effect on safety trends for reporting and decision-making.,3
62eb5dc9-c22f-4846-92dd-07743da36faf,Voxel Follow Up,Coaching & action workflow,Assign and track corrective actions in platform,"Use the Actions workflow to create, assign, and track tasks with ownership and timelines, driving timely resolution and measurable impact.",2
684871c9-1839-49d4-bbde-6a752de7cf25,Prime Signal Materials,Coaching & action workflow,Action management and coaching workflow,"Adopt the Actions feature to assign, track, and report on remediation tasks with notifications and due dates as part of operational cadence.",4
684871c9-1839-49d4-bbde-6a752de7cf25,Prime Signal Materials,Analytics & reporting,Heatmaps analytics to prioritize focus,Use the platform’s heat maps and incident sorting to focus operational efforts on the highest-activity areas within views.,3
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91,Mason Line Supply,Dock & door operations,Door open/propped duration monitoring,Alert when warehouse doors are left open or propped to reduce security exposure from unauthorized entry.,2
6a0e07b5-9bef-4c88-80ad-9a732f2dbb91,Mason Line Supply,Analytics & reporting,Operational efficiency insights from video analytics,"Use video-derived insights to spot process inefficiencies (e.g., unnecessary travel to pick nearby items) and improve productivity.",1
6a626eda-a54b-4bbc-a81d-8e11fd41428e,Riley,Food safety & controlled environment,Food safety PPE compliance (hair nets and beard nets),Monitor compliance with hair nets and beard nets for food safety and hygiene requirements.,2
6a626eda-a54b-4bbc-a81d-8e11fd41428e,Riley,Platform & adoption,Enterprise-scale rollout across DCs and storefronts,Expand from pilot to full enterprise deployment of the solution across all distribution centers and storefronts.,3
71760067-2b37-4ed0-90a0-a35957006c74,Blue Base Supply,Dock & door operations,Cold storage door monitoring for energy savings,Identify open doors in refrigerated areas to reduce energy waste and associated costs.,2
71760067-2b37-4ed0-90a0-a35957006c74,Blue Base Supply,Other,Quality inspection via computer vision,"Apply CV to detect product or process defects (e.g., ink/tears on paper, weld quality, dimensional checks) for QA purposes.",2
765f10aa-97d9-45e4-a35d-6773e525bc2e,Forge Axis Solutions,Platform & adoption,Tune no-pedestrian zone detection to reduce alert noise,Adjust camera regions to remove noise from routine shipping prep so users can more efficiently review incidents and prioritize meaningful events.,4
78509364-d178-4959-8806-043f2025efe1,Harbor Harbor Supply Voxel Training,Security & access control,Security/area control and after-hours presence detection,"Detect people in restricted areas or during off-hours (e.g., 1 a.m..–6 a.m..) using existing cameras, including exterior views, for security and area control.",2
8a7ff309-11af-4250-ab87-4b2cf88b0f52,Oak Motive Solutions,Loss prevention & damage,Product condition monitoring,Flag when product is left out too long or in the wrong place so it does not go to waste.,3
909a8d56-b5dc-4b0e-aff9-d097d46a0a58,Field Span Transport,Dock & door operations,Trailer pull-away detection at docks,Monitor and detect trailer pull-aways to reduce operational disruptions and losses in addition to safety risk mitigation.,2
909a8d56-b5dc-4b0e-aff9-d097d46a0a58,Field Span Transport,Loss prevention & damage,Product damage tracking,"Use computer vision to detect and track product damage events in the facility to reduce waste, rework, and associated costs.",1
950341d3-199c-40ca-a07d-f7771066f208,Pioneer Market Group Internal Sync,Other,Obstruction detection standardization across sites,"Standardize the obstruction use case with consistent definitions/thresholds across all DCs as part of a broader, consistent playbook.",2
950341d3-199c-40ca-a07d-f7771066f208,Pioneer Market Group Internal Sync,Analytics & reporting,Enterprise program governance and reporting,"Establish program governance, standardized reporting, usage expectations, and a playbook to manage a multi-site enterprise rollout consistently.",8
950341d3-199c-40ca-a07d-f7771066f208,Pioneer Market Group Internal Sync,Platform & adoption,Improve data accuracy via precise region configuration,Leverage deeper camera coverage to draw more precise regions of interest so analytics output is accurate despite overlapping views.,3
a1cd5278-e378-441c-a467-aeb78a5b4432,Union Track Dynamics,Analytics & reporting,Site report and heatmap analytics to find hotspots by camera/time and track outcomes,"Leverage the site report to view 30‑day incident trends, drill into specific cameras, use heatmaps to locate hotspots, see hot times, and add markers to track post‑action outcomes.",6
a4393e52-d7df-4f74-a9ac-48600f2c0007,Iron Grid Fabrication,Analytics & reporting,Review dashboard metrics and product enhancements to identify opportunities,Run through Voxel dashboard metrics across sites to spot trends and discuss product enhancements that can be leveraged.,2
a7293f69-af12-41b7-bfa9-a904e3bffa11,Meridian Works Operations MMS,Platform & adoption,Sensitive-inventory monitoring pilot,"Meridian Works Operations has a specific maintenance need, and the team discussed an early-stage pilot to address it.",6
aa7a4873-c2d8-41b6-bd05-0600530e7764,Blue Peak Services POC Week 2 Review,Other,Area controls (restricted zones and product placement policies),Configure rules to enforce operational policies such as preventing product from being left in certain areas and restricting access to specific zones.,2
aa7a4873-c2d8-41b6-bd05-0600530e7764,Blue Peak Services POC Week 2 Review,Other,Identify operational improvements and efficiency gains from data,Use heat maps and discussions with frontline teams to surface operational improvements and efficiency gains.,1
ab25c025-3c1d-4127-8784-51d4c905ea23,Stone Peak Manufacturing,Analytics & reporting,Enterprise safety analytics and summary view,"Provide enterprise-wide analytics on frequency, location, and timing of events via a summary view for cross-site visibility and decision-making.",3
ab25c025-3c1d-4127-8784-51d4c905ea23,Stone Peak Manufacturing,Incident investigation,Use historical data to support internal review,Use historical performance data to support an internal business case without getting into detailed financial assumptions.,3
ac14b2a4-2a18-45c0-9f6d-3956fb2f1e85,Jordan,Food safety & controlled environment,Food hygiene PPE compliance (hair nets and beard nets),Monitor compliance with hair net and beard net requirements for food processing operations.,1
b5715671-0f5a-4f2a-9584-43420ff6ebc4,Cedar Field Materials,Integration & data export,Trial validation of detection and workflow integration,"During the trial, validate that Voxel detects the targeted events, that the platform and data workflows fit Cedar Field Materials’s processes, and establish an action plan based on identified opportunities.",3
bc645b88-89e5-4865-8782-5e17b6a20c20,Introduction to Voxel: Pioneer Peak Manufacturing,Security & access control,Security monitoring (license plate recognition and restricted-hours alerts),"Use license plate recognition to flag former employees returning and send alerts for presence in restricted areas during specified hours (e.g., midnight to 8 a.m.).",2
bc645b88-89e5-4865-8782-5e17b6a20c20,Introduction to Voxel: Pioneer Peak Manufacturing,Other,Operational efficiency identification,"Analyze video clips to uncover better ways of executing tasks, saving time and enabling workforce reallocation.",3
c3ceb91a-e15d-4326-8a39-cfdb26dde294,Summit Span Solutions,Other,Getting sites onto the same schedule,Discuss getting sites onto the same schedule and simplifying future paperwork without keeping detailed renewal terms.,3
dd2a6900-b843-4234-88ac-ecaa37ab4750,Noble Base Supply continued,Coaching & action workflow,Safety reporting and coaching workflows,"Track compliance trends, assign incidents to team members, and close coaching loops with real-time, downloadable reports.",4
dd2a6900-b843-4234-88ac-ecaa37ab4750,Noble Base Supply continued,Analytics & reporting,Cross-site and shift compliance benchmarking,Compare compliance across sites and shifts to pinpoint problem areas and target communications or operational changes.,2
dd2a6900-b843-4234-88ac-ecaa37ab4750,Noble Base Supply continued,Integration & data export,Integration with an external workflow tool via API/data export,Export or push safety data directly into an external workflow tool to keep reporting consolidated in existing systems.,1
dd2a6900-b843-4234-88ac-ecaa37ab4750,Noble Base Supply continued,Other,Reduce time spent on manual observations,Use automated video analyses to quickly surface risk areas and save time compared to standing on the floor observing workers.,1
dd6490e5-9b50-4589-ab35-4245c3becc1c,Kodiak Point Fabrication,Operational flow & throughput,Parking duration monitoring,Track parking duration/dwell time in areas such as the lot or truck wash to understand how long vehicles remain parked.,3
e1348b58-5121-4bba-8f64-a352b6e11086,Riley Winslow - Atlas Signal Materials,Other,Operational anomaly detection,Identify operational anomalies using camera-based monitoring as an operationally focused use case that can scale broadly across sites.,3
e4b2f981-a2ca-4c45-9257-ff6af898d095,Voxel Safety Intro: Copper Forge Industrial,Other,Quantify impact of safety interventions with leading indicators and markers,"Track trends and use markers to correlate program or engineering changes with risk reductions, providing measurable impact and ROI before injury data accrues.",4
e7b7349c-1375-458c-bd7e-69ba9dcdd057,Keystone Steel Systems sync,Dock & door operations,Operational analytics: monitor open door durations,Track open door durations as an operational metric for facilities to support non-safety objectives like efficiency or energy management.,1
edc1276d-8486-4554-b8e5-0dfd4ffc3882,Kelsey Everett Technical Deep Dive - Voxel AI,Operational flow & throughput,No‑parking zone enforcement,Alert when vehicles or equipment are parked in restricted zones longer than a set threshold to support site compliance.,2
eeff5c72-c472-4c17-b4b5-f2c181e024b2,Foundry Harbor Manufacturing,Coaching & action workflow,Assign and track follow-ups with Actions,Use the Actions workflow to manage accountability and completion of operational follow-ups discovered from video clips and data trends.,5
f3432b37-3049-414d-a90b-1df41934a165,Voxel Grit Stack Operations sync,Security & access control,After-hours presence/time-based access monitoring,Alert when people are present in facilities after hours or at unauthorized times.,1
fc07344d-07f9-44b8-9cd2-5df1719a946d,"Voxel Training- Summit Span Solutions, Northpoint Site",Dock & door operations,Open door duration monitoring,Track open door duration events for operational awareness and process control.,1
fc07344d-07f9-44b8-9cd2-5df1719a946d,"Voxel Training- Summit Span Solutions, Northpoint Site",Operational flow & throughput,Parking duration monitoring,Monitor parking duration to support site operations and dwell-time management.,1
fc07344d-07f9-44b8-9cd2-5df1719a946d,"Voxel Training- Summit Span Solutions, Northpoint Site",Analytics & reporting,Safety incident reporting and trend analysis,"Use reports to analyze incident trends by type, camera, and time, track team engagement, and evaluate whether actions reduced incidents.",4
fc07344d-07f9-44b8-9cd2-5df1719a946d,"Voxel Training- Summit Span Solutions, Northpoint Site",Analytics & reporting,Safety performance benchmarking and goal tracking,Set performance goals and compare ongoing trends against those goals as benchmarking capabilities mature.,1
